24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:22:25 | GET | cafeteria-api/categorias
31-03-2026 17:22:45 | OPTIONS | cafeteria-api/categorias/3
31-03-2026 17:22:45 | DELETE | cafeteria-api/categorias/3
31-03-2026 17:22:45 | GET | cafeteria-api/categorias
31-03-2026 17:22:52 | POST | cafeteria-api/categorias
31-03-2026 17:22:52 | GET | cafeteria-api/categorias
31-03-2026 17:25:35 | GET | cafeteria-api/categorias
31-03-2026 17:25:35 | GET | cafeteria-api/categorias
31-03-2026 18:40:20 | GET | cafeteria-api/categorias
31-03-2026 18:40:44 | POST | cafeteria-api/categorias
31-03-2026 18:40:44 | GET | cafeteria-api/categorias
31-03-2026 18:40:56 | POST | cafeteria-api/categorias
31-03-2026 18:40:56 | GET | cafeteria-api/categorias
31-03-2026 18:50:02 | GET | cafeteria-api/categorias
31-03-2026 19:12:21 | GET | cafeteria-api/categorias
31-03-2026 19:12:35 | POST | cafeteria-api/categorias
31-03-2026 19:12:35 | GET | cafeteria-api/categorias
31-03-2026 19:13:05 | GET | cafeteria-api/categorias
31-03-2026 19:13:08 | GET | cafeteria-api/categorias
31-03-2026 19:13:12 | GET | cafeteria-api/categorias
31-03-2026 19:14:20 | GET | cafeteria-api/categorias
31-03-2026 19:14:23 | POST | cafeteria-api/categorias
31-03-2026 19:14:23 | GET | cafeteria-api/categorias
31-03-2026 19:14:24 | POST | cafeteria-api/categorias
31-03-2026 19:14:24 | GET | cafeteria-api/categorias
31-03-2026 19:14:24 | POST | cafeteria-api/categorias
31-03-2026 19:14:24 | GET | cafeteria-api/categorias
31-03-2026 19:18:05 | GET | cafeteria-api/categorias
31-03-2026 19:19:15 | GET | cafeteria-api/categorias
31-03-2026 19:19:25 | OPTIONS | cafeteria-api/categorias
31-03-2026 19:19:25 | POST | cafeteria-api/categorias
31-03-2026 19:19:25 | GET | cafeteria-api/categorias
31-03-2026 19:31:00 | GET | cafeteria-api/produtos
31-03-2026 19:56:24 | POST | cafeteria-api/categorias
31-03-2026 19:56:24 | GET | cafeteria-api/categorias
31-03-2026 19:56:25 | GET | cafeteria-api/categorias
31-03-2026 19:56:27 | OPTIONS | cafeteria-api/categorias
31-03-2026 19:56:27 | POST | cafeteria-api/categorias
31-03-2026 19:56:27 | GET | cafeteria-api/categorias
31-03-2026 20:02:50 | GET | cafeteria-api/categorias
31-03-2026 20:02:50 | GET | cafeteria-api/produtos
31-03-2026 20:02:56 | GET | cafeteria-api/produtos
31-03-2026 20:02:58 | GET | cafeteria-api/categorias
31-03-2026 20:02:59 | GET | cafeteria-api/produtos
31-03-2026 20:03:02 | GET | cafeteria-api/produtos
31-03-2026 20:03:08 | POST | cafeteria-api/produtos
31-03-2026 20:03:08 | GET | cafeteria-api/produtos
31-03-2026 20:04:24 | GET | cafeteria-api/categorias
31-03-2026 20:04:24 | GET | cafeteria-api/produtos
31-03-2026 20:04:30 | GET | cafeteria-api/categorias
31-03-2026 20:04:30 | GET | cafeteria-api/produtos
31-03-2026 20:04:33 | GET | cafeteria-api/categorias
31-03-2026 20:04:33 | GET | cafeteria-api/produtos
31-03-2026 20:04:53 | GET | cafeteria-api/categorias
31-03-2026 20:04:53 | GET | cafeteria-api/produtos
31-03-2026 20:04:58 | GET | cafeteria-api/produtos
31-03-2026 20:15:15 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:15:15 | POST | cafeteria-api/produtos
31-03-2026 20:15:17 | POST | cafeteria-api/produtos
31-03-2026 20:15:26 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:15:26 | POST | cafeteria-api/produtos
31-03-2026 20:19:38 | GET | cafeteria-api/categorias
31-03-2026 20:19:47 | OPTIONS | cafeteria-api/categorias
31-03-2026 20:19:47 | POST | cafeteria-api/categorias
31-03-2026 20:19:47 | GET | cafeteria-api/categorias
